133472.7,144445.47,169601.38,208478.88,260236.81,322803.03,391029.5,452574.5,467451.5,468287.72,466650.84,468144.9,0.0,61500.0,0.0,17550.0,0.0,16875.0,0.0,0.0,1.3238258e+06,1.3335189e+06,1.3431182e+06,1.3459418e+06,1.3386822e+06,1.3144604e+06,1.2817894e+06,1.2623938e+06,0.0,0.0,579187.44,571098.8,569424.1,0.0,0.0,0.0,0.0,0.0,28202.355,24384.438,20090.723,16094.794,12628.68,9738.8125,7396.9473,5542.799,4104.465,3009.7122,2192.3916,1595.9841,1175.6174,900.32074,759.2345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16974105,0.16185439,0.15531005,0.15186954,0.15328017
134126.86,145639.84,171957.44,212539.5,267506.28,336174.66,418544.9,522039.53,505252.22,496906.1,491993.75,492315.78,0.0,985773.94,1.0059298e+06,1.0530036e+06,1.1176226e+06,1.1901152e+06,1.2627918e+06,1.3232624e+06,1.3585334e+06,1.3881855e+06,1.4067381e+06,1.4138945e+06,1.4083299e+06,1.3801306e+06,1.3264405e+06,1.2869812e+06,1.2783986e+06,0.0,615373.06,604345.75,598689.44,0.0,68420.805,62229.16,53953.695,44700.188,34164.582,27363.12,21887.385,17270.965,13414.285,10259.857,7736.2427,5758.524,4237.7656,3089.112,2236.9607,1617.5319,1179.4706,882.69366,693.0096,558.3489,502.96085,0.0,10.71622,10.487802,10.54917,0.0,0.20196769,0.19161662,0.18220696,0.17645681,0.17697446
138523.19,150702.73,178562.94,221911.47,281236.75,357012.47,447750.06,553194.3,558912.1,549461.25,542598.8,543479.06,0.0,1.0036816e+06,1.0296451e+06,1.0856245e+06,1.1606275e+06,1.2421151e+06,1.3264012e+06,1.3996292e+06,1.4610159e+06,1.5151436e+06,1.541816e+06,1.5536696e+06,1.5588332e+06,1.5274971e+06,1.4144366e+06,1.3437082e+06,1.3141958e+06,0.0,694467.94,675468.1,660164.4,0.0,77465.78,69489.484,60085.21,50344.19,40669.098,32514.879,25676.955,19978.38,15308.161,11559.439,8611.861,6338.194,4614.9746,3330.221,2387.7014,1708.2494,1229.005,901.18365,686.6037,554.64874,499.19382,0.0,12.279245,11.943612,11.926945,0.0,0.28256658,0.26578465,0.2488322,0.23699036,0.23508298
146582.56,159535.77,189077.16,235083.06,298022.06,378311.97,475084.25,572756.44,609371.9,614730.44,614720.75,620120.44,0.0,1.0429334e+06,1.0788031e+06,1.1518029e+06,1.2515101e+06,1.34558e+06,1.4570211e+06,1.5431458e+06,1.5977422e+06,1.6242055e+06,1.634031e+06,1.6395766e+06,1.6472629e+06,1.624649e+06,1.5175476e+06,1.4184045e+06,1.3751179e+06,0.0,822149.4,784641.3,744244.5,0.0,94494.78,85033.78,73689.734,62057.348,50742.418,40518.863,31687.57,24318.664,18352.906,13648.199,10018.957,7270.9834,5224.3657,3722.814,2636.8271,1863.1039,1321.7548,952.606,711.5628,568.42194,508.37833,0.0,16.1912,15.535658,15.25042,0.0,0.43177128,0.40144762,0.3681988,0.34303802,0.33537117
158412.84,172319.17,203820.05,252688.31,318585.62,400038.84,493930.62,589572.3,656564.2,683275.75,705307.06,725423.8,0.0,1.085873e+06,1.1426456e+06,1.2331568e+06,1.3383298e+06,1.4466964e+06,1.5496576e+06,1.6092314e+06,1.6307144e+06,1.636071e+06,1.6415921e+06,1.6517194e+06,1.6631042e+06,1.6499714e+06,1.5787288e+06,1.4951384e+06,1.4459388e+06,0.0,1.0099892e+06,940159.6,826889.44,0.0,122285.75,110803.38,96086.69,80806.03,65926.72,52253.758,40358.24,30497.38,22631.566,16546.223,11949.013,8539.025,6047.413,4251.1255,2972.2283,2073.324,1451.163,1030.105,756.57776,595.29755,527.12537,0.0,23.352991,21.882221,20.747839,0.0,0.6883116,0.6301825,0.5629148,0.5099617,0.4894853
174197.44,189486.8,223518.67,275934.25,346165.72,431914.28,529641.75,630136.0,710138.2,763570.75,812798.8,867135.8,973803.94,1.1126684e+06,1.2019314e+06,1.2928252e+06,1.3882929e+06,1.4860276e+06,1.5701162e+06,1.6146289e+06,1.6294921e+06,1.6366374e+06,1.6477485e+06,1.6646836e+06,1.6821522e+06,1.6818496e+06,1.6473059e+06,1.5850091e+06,1.5196034e+06,1.4392812e+06,1.2626159e+06,1.185756e+06,0.0,0.0,167289.17,150512.4,129559.39,108240.11,87632.78,68671.01,52207.395,38732.484,28206.83,20247.322,14371.033,10107.001,7053.131,4890.9316,3376.137,2326.3088,1608.1598,1126.2941,814.38434,629.52905,549.6943,0.0,35.63104,32.187595,28.384428,0.0,1.122532,1.0059646,0.8678259,0.75834936,0.71102387
193780.25,210832.94,248391.25,305534.62,381764.44,474810.0,581711.0,688314.44,779083.94,843928.3,895881.0,953892.94,1.0276026e+06,1.1778845e+06,1.2594442e+06,1.354056e+06,1.4383336e+06,1.5219855e+06,1.582164e+06,1.6119234e+06,1.6272599e+06,1.6407781e+06,1.6560229e+06,1.6761164e+06,1.6970649e+06,1.7109128e+06,1.7100994e+06,1.7010506e+06,1.6464561e+06,1.5829136e+06,1.4932846e+06,1.3899081e+06,1.4084685e+06,0.0,236922.6,208050.5,176566.52,146234.05,117268.32,90647.4,67681.74,49171.38,35059.83,24677.418,17206.447,11908.861,8191.5317,5606.537,3823.9468,2605.4644,1781.6857,1233.7113,879.2512,664.59814,567.2567,0.0,56.77321,49.022224,36.61007,0.0,1.8634559,1.6182028,1.3317692,1.1106306,1.0105758
216205.16,235575.95,277608.2,341211.5,425274.22,527333.0,640507.0,752138.6,843410.9,900352.0,945082.06,997679.75,1.0883484e+06,1.20549e+06,1.3115314e+06,1.4162002e+06,1.4999519e+06,1.5525131e+06,1.5917776e+06,1.6122971e+06,1.623947e+06,1.6495668e+06,1.6662782e+06,1.6928161e+06,1.7087561e+06,1.725911e+06,1.7398726e+06,1.7481685e+06,1.7468798e+06,1.7518712e+06,1.6950021e+06,1.5370375e+06,1.4750498e+06,0.0,345674.34,285176.34,238312.84,196251.56,155726.8,118376.336,86650.93,61607.324,42966.35,29636.674,20300.62,13835.126,9388.476,6348.965,4283.765,2890.2654,1958.9899,1345.5591,948.6103,693.689,564.4353,0.0,94.093346,79.704254,0.0,0.0,3.1577697,2.6094756,2.0125122,1.5805993,1.3853387
240258.62,262309.1,309599.12,381124.2,475670.6,590218.2,713525.75,826280.06,910486.44,949280.3,980888.2,1.0200749e+06,1.1011754e+06,1.2372566e+06,1.3664341e+06,1.4723361e+06,1.5543524e+06,1.5771914e+06,1.6015342e+06,1.618823e+06,1.6385044e+06,1.6592384e+06,1.6870628e+06,1.7022209e+06,1.7186231e+06,1.7321665e+06,1.7460776e+06,1.7670568e+06,1.7922186e+06,1.8145809e+06,1.8710104e+06,1.6545022e+06,1.5398e+06,0.0,516124.0,367323.03,313002.88,259408.55,204324.48,151507.53,108289.22,75246.336,51343.496,34732.004,23401.525,15727.411,10545.379,7057.0386,4717.507,3156.8335,2125.5544,1456.403,1031.1334,712.8961,508.7327,317.70737,159.44522,107.694046,96.825325,0.0,5.5105495,4.1825857,2.9463773,2.148225,1.801776
264574.6,289439.62,342744.2,423257.28,529875.56,657671.2,793860.2,912964.6,990849.7,1.01174294e+06,1.0259879e+06,1.0415353e+06,0.0,1.3273345e+06,1.4237878e+06,1.5122146e+06,1.5912311e+06,1.6001105e+06,1.6114925e+06,1.6230069e+06,1.6392364e+06,1.6626681e+06,1.6930082e+06,1.726962e+06,1.7271896e+06,1.7365512e+06,1.7478586e+06,1.7694169e+06,1.7959614e+06,1.8273231e+06,1.8877605e+06,1.7155114e+06,1.5463708e+06,1.4168848e+06,0.0,0.0,402849.9,337053.28,260377.28,187301.25,130184.81,88438.79,59188.066,39380.668,26172.695,17390.203,11547.683,7662.923,5084.25,3379.2507,2263.1924,1556.3444,1174.7949,0.0,0.0,0.0,146.52686,114.365204,96.628426,0.0,10.061832,6.5015917,4.0439973,2.7122746,2.176509
