metric,distribution,aic,bic,log_likelihood,best_fit
total_evacuated,normal,311.34795795818474,315.17200396904104,-153.67397897909237,True
total_evacuated,lognormal,313.13690671167126,318.8729757279557,-153.56845335583563,False
total_evacuated,weibull,320.69025145667763,326.42632047296206,-157.34512572833881,False
total_dead,normal,293.41909110133236,297.24313711218866,-144.70954555066618,True
total_dead,lognormal,296.52890364667235,302.2649726629568,-145.26445182333617,False
total_dead,weibull,294.97875077630306,300.7148197925875,-144.48937538815153,False
average_escape_time,normal,257.39487578158264,261.21892179243895,-126.69743789079132,True
average_escape_time,lognormal,259.1374602994627,264.87352931574713,-126.56873014973135,False
average_escape_time,weibull,270.3583502965118,276.0944193127962,-132.1791751482559,False
