,mean,std,margin_of_error,ci_lower,ci_upper,confidence_level
total_evacuated,184.7,6.547316010303422,1.8147900595810773,182.88520994041892,186.51479005958106,0.95
total_dead,119.96,5.827310788040068,1.6152184613637728,118.34478153863623,121.57521846136376,0.95
total_injured,148.92,8.460810015740158,2.3451737915820683,146.57482620841793,151.26517379158204,0.95
total_trapped,160.34,6.548438044016797,1.8151010657439606,158.52489893425604,162.15510106574396,0.95
average_escape_time,165.47696779897655,3.493469965637747,0.968322677125618,164.50864512185092,166.44529047610217,0.95
