simulation,mean_evacuated,mean_deaths,mean_trapped,std_evacuated,std_deaths,std_trapped,rel_error_evacuated,rel_error_deaths,rel_error_trapped
1,186.0,104.0,175.0,0.0,0.0,0.0,1.0,1.0,1.0
2,186.5,101.5,177.0,0.7071067811865476,3.5355339059327378,2.8284271247461903,0.005254691689008043,0.048275862068965524,0.02214689265536723
3,186.0,100.0,179.0,1.0,3.605551275463989,4.0,0.006083906062428315,0.0408006535895362,0.02528729670640596
