,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,186.4,41.87755102040816,6.4712866588035,168.0,201.0,186.5,182.0,191.0
total_dead,100.92,18.197551020408163,4.265858767048924,90.0,109.0,100.5,98.0,103.75
total_injured,124.84,55.48408163265306,7.448763765394434,106.0,148.0,126.0,120.0,129.0
total_trapped,177.68,33.813877551020404,5.814970124688553,161.0,190.0,177.0,175.0,181.0
average_escape_time,168.12913539538349,10.751453669328628,3.278940937151602,161.73821989528795,175.38690476190476,168.18730163394852,165.8372259489529,170.82147937411096
max_density,4.131182795698924,0.0,0.0,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924
average_smoke,917.5274470043645,125.09325896934831,11.184509777784108,890.7873374573018,954.3208740249897,917.341882903936,910.9180816038077,923.479292155467
