,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,188.0,27.918367346938776,5.283783431116266,178.0,199.0,187.5,184.25,191.0
total_dead,99.62,19.505714285714284,4.41652740121855,87.0,108.0,100.0,97.0,102.75
total_injured,123.78,39.726122448979595,6.30286620903376,110.0,139.0,123.5,119.0,128.0
total_trapped,177.38,33.75061224489795,5.809527712723122,167.0,189.0,177.5,174.0,181.0
average_escape_time,167.6586127394604,9.489853322915266,3.08056055335961,161.82065217391303,175.45,167.87140820355341,165.22962415540542,169.3191306918983
max_density,4.131182795698924,0.0,0.0,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924
average_smoke,915.34829535148,115.53222037711458,10.74859155318103,893.8757366998618,939.8719614942496,915.984056742154,908.5564859179283,922.8031409159923
