simulation,mean_evacuated,mean_deaths,mean_trapped,std_evacuated,std_deaths,std_trapped,rel_error_evacuated,rel_error_deaths,rel_error_trapped
1,182.0,103.0,180.0,0.0,0.0,0.0,1.0,1.0,1.0
2,186.0,101.0,178.0,5.656854249492381,2.8284271247461903,2.8284271247461903,0.042150537634408604,0.03881188118811881,0.02202247191011236
3,188.0,99.66666666666667,177.33333333333334,5.291502622129181,3.055050463303893,2.3094010767585034,0.03185052610678527,0.03468677304138192,0.01473684210526316
4,188.75,99.75,176.5,4.573474244670748,2.5,2.516611478423583,0.02374572058160176,0.024561403508771933,0.013973253534589865
5,188.4,99.0,177.6,4.03732584763727,2.7386127875258306,3.286335345030997,0.018783822381701093,0.024247474221490043,0.016219594242753477
6,188.16666666666666,98.83333333333333,178.0,3.6560452221856696,2.48327740429189,3.0983866769659336,0.015547097193051088,0.020104914939940155,0.013928234188606796
7,188.28571428571428,98.57142857142857,178.14285714285714,3.3523268393901033,2.370453040886408,2.853569193634025,0.013189733942070885,0.017815062770804097,0.011866620283184175
8,187.625,99.375,178.0,3.6228441865473595,3.1594529363709247,2.6726124191242437,0.013380428715043845,0.02203158927521688,0.010404639987332659
9,187.77777777777777,99.77777777777777,177.44444444444446,3.419714088113865,3.192874010111336,3.0046260628866577,0.011898176827283745,0.020906569242154407,0.011062743425030398
10,187.8,99.6,177.6,3.2249030993194197,3.0623157540948935,2.875181153713043,0.010643320816445001,0.019056656312459532,0.010034097644929532
