,mean,std,margin_of_error,ci_lower,ci_upper,confidence_level
total_evacuated,144.44,5.782309403760433,1.6027449432489378,142.83725505675105,146.04274494324895,0.95
total_dead,155.82,8.625283195587356,2.3907625933727052,153.4292374066273,158.2107625933727,0.95
total_injured,182.36,9.715882221751082,2.693055665611174,179.66694433438883,185.0530556656112,0.95
total_trapped,164.74,9.045937187037987,2.5073597884685825,162.23264021153142,167.2473597884686,0.95
average_escape_time,188.70058288840173,4.109336914983967,1.1390291492035172,187.56155373919822,189.83961203760524,0.95
