,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,144.44,33.43510204081633,5.782309403760433,129.0,154.0,145.0,140.25,148.75
total_dead,155.82,74.39551020408163,8.625283195587356,141.0,187.0,154.0,151.0,161.0
total_injured,182.36,94.39836734693874,9.715882221751082,162.0,203.0,181.5,178.0,188.75
total_trapped,164.74,81.82897959183674,9.045937187037987,127.0,184.0,165.0,160.25,169.75
average_escape_time,188.70058288840173,16.886649880849948,4.109336914983967,180.54362416107384,196.76978417266187,188.98394413805374,185.5467032967033,191.7785454103934
max_density,4.131182795698924,0.0,0.0,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924
average_smoke,917.553420423383,172.5904245607292,13.13736748974958,889.1742421141888,952.3575164309765,917.7035486403729,910.6853928221886,926.5082550747817
