,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,184.7,42.86734693877551,6.547316010303422,170.0,198.0,185.0,181.25,189.0
total_dead,119.96,33.957551020408154,5.827310788040068,106.0,133.0,120.5,116.0,124.0
total_injured,148.92,71.58530612244897,8.460810015740158,131.0,170.0,148.5,143.0,153.0
total_trapped,160.34,42.88204081632654,6.548438044016797,149.0,177.0,160.0,155.0,166.0
average_escape_time,165.47696779897655,12.204332400813001,3.493469965637747,158.3068783068783,173.02808988764045,165.3756121587391,163.2548025463354,167.9540414222874
max_density,4.131182795698924,0.0,0.0,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924
average_smoke,1004.1552015438355,193.7519939785658,13.91948253271528,965.0301773518199,1033.519831066318,1006.5397436588878,996.0387083119031,1012.7520714765662
