,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,183.81,48.17565656565656,6.940868574296488,169.0,202.0,184.0,179.0,187.25
total_dead,99.64,23.202424242424243,4.816889477912509,85.0,110.0,100.0,96.0,103.0
total_injured,124.21,42.32919191919191,6.506088834253027,105.0,141.0,124.0,120.0,128.0
total_trapped,181.55,45.724747474747474,6.762007651189658,166.0,198.0,181.0,177.0,186.0
average_escape_time,167.92952089903855,11.91070110612309,3.451188361437708,159.21938775510205,174.7865168539326,167.73256090314914,165.69718070652175,170.39572900616332
max_density,4.131182795698925,7.968291971929413e-31,8.926528984957934e-16,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924
average_smoke,915.8877667231759,196.06135530526154,14.00219108944245,870.3624581402913,943.166486981567,915.5331024455975,908.3223349557677,924.0973605683882
