metric,distribution,aic,bic,log_likelihood,best_fit
total_evacuated,normal,320.3640333254628,324.1880793363191,-158.1820166627314,True
total_evacuated,lognormal,323.36577891697607,329.1018479332605,-158.68288945848803,False
total_evacuated,weibull,321.2980358911181,327.03410490740254,-157.64901794555905,False
total_dead,normal,360.35349761953006,364.17754363038637,-178.17674880976503,False
total_dead,lognormal,360.2442849666745,365.98035398295895,-177.12214248333726,True
total_dead,weibull,380.41144644735806,386.1475154636425,-187.20572322367903,False
average_escape_time,normal,286.2098860484458,290.0339320593021,-141.1049430242229,True
average_escape_time,lognormal,288.2742460821715,294.0103150984559,-141.13712304108574,False
average_escape_time,weibull,292.3471339648576,298.08320298114205,-143.1735669824288,False
