metric,distribution,aic,bic,log_likelihood,best_fit
total_evacuated,normal,331.62121336359303,335.44525937444934,-163.81060668179651,True
total_evacuated,lognormal,334.06532842810776,339.8013974443922,-164.03266421405388,False
total_evacuated,weibull,338.1599476395153,343.8960166557997,-166.07997381975764,False
total_dead,normal,289.94806924012124,293.77211525097755,-142.97403462006062,True
total_dead,lognormal,291.9202148542014,297.6562838704858,-142.9601074271007,False
total_dead,weibull,297.3107917321399,303.0468607484243,-145.65539586606994,False
average_escape_time,normal,263.635766478862,267.45981248971833,-129.817883239431,True
average_escape_time,lognormal,265.77960347388455,271.515672490169,-129.88980173694227,False
average_escape_time,weibull,268.04819679651195,273.7842658127964,-131.02409839825597,False
