simulation_id,total_evacuated,total_dead,total_injured,total_trapped,average_escape_time,max_density,average_smoke,window_escape_count,total_simulation_time
1,146,154,180,165,187.54794520547946,4.131182795698924,919.9306543628002,0,300
2,151,187,203,127,184.75496688741723,4.131182795698924,923.0308857202158,0,300
3,148,154,181,163,188.25675675675674,4.131182795698924,932.3823741435632,0,300
4,137,164,186,164,196.12408759124088,4.131182795698924,925.5757357859239,0,300
5,145,158,191,162,191.26206896551724,4.131182795698924,905.410036168856,0,300
6,150,150,170,165,190.22666666666666,4.131182795698924,892.7937853645906,0,300
7,141,144,190,180,192.36170212765958,4.131182795698924,936.2549602245912,0,300
8,142,167,188,156,190.88732394366198,4.131182795698924,932.5621500920877,0,300
9,144,152,180,169,187.38888888888889,4.131182795698924,920.2021682852134,0,300
10,142,152,182,171,191.95070422535213,4.131182795698924,921.3017395519838,0,300
11,147,151,179,167,181.80272108843536,4.131182795698924,896.7733628360057,0,300
12,147,153,179,165,185.16326530612244,4.131182795698924,938.8178716746594,0,300
13,154,141,165,170,185.4935064935065,4.131182795698924,914.9380626193309,0,300
14,140,157,179,168,192.71428571428572,4.131182795698924,910.5862548859542,0,300
15,149,148,177,168,192.1476510067114,4.131182795698924,919.7426117602612,0,300
16,145,143,178,177,187.68275862068967,4.131182795698924,914.4565348998333,0,300
17,143,164,186,158,185.7062937062937,4.131182795698924,894.2090223939841,0,300
18,146,166,184,153,183.84246575342465,4.131182795698924,905.9367571186647,0,300
19,140,168,200,157,191.17142857142858,4.131182795698924,925.7942125757163,0,300
20,148,155,177,162,190.8108108108108,4.131182795698924,926.7462692411368,0,300
21,138,169,194,158,193.6014492753623,4.131182795698924,903.3609316595023,0,300
22,147,143,170,175,185.33333333333334,4.131182795698924,927.195578510724,0,300
23,129,152,187,184,195.0,4.131182795698924,914.2183491380637,0,300
24,145,153,171,167,181.53103448275863,4.131182795698924,917.4399590611085,0,300
25,143,167,200,155,192.14685314685315,4.131182795698924,927.1709578378623,0,300
26,133,168,201,164,190.3684210526316,4.131182795698924,907.8509265668814,0,300
27,146,154,182,165,189.0068493150685,4.131182795698924,904.3725909606243,0,300
28,154,151,165,160,188.96103896103895,4.131182795698924,910.982806630892,0,300
29,139,153,185,173,196.76978417266187,4.131182795698924,919.5305923119809,0,300
30,154,161,189,150,189.2922077922078,4.131182795698924,912.5957169083382,0,300
31,137,161,192,167,185.94160583941607,4.131182795698924,936.7461854654179,0,300
32,153,153,164,159,189.88888888888889,4.131182795698924,924.8798419181134,0,300
33,146,163,183,156,187.8835616438356,4.131182795698924,911.6823903615897,0,300
34,149,161,181,155,184.55704697986576,4.131182795698924,952.3575164309765,0,300
35,147,149,180,169,187.95238095238096,4.131182795698924,889.1742421141888,0,300
36,142,165,192,158,187.54929577464787,4.131182795698924,926.9587689105297,0,300
37,140,159,180,166,189.55,4.131182795698924,909.0419421124086,0,300
38,153,151,172,161,187.66013071895424,4.131182795698924,913.3349601812785,0,300
39,149,150,178,166,184.50335570469798,4.131182795698924,932.3798977235581,0,300
40,131,159,184,175,193.0381679389313,4.131182795698924,922.201167809926,0,300
41,140,148,184,177,186.96428571428572,4.131182795698924,933.724112147453,0,300
42,142,152,184,171,191.9788732394366,4.131182795698924,911.0981290872519,0,300
43,143,156,196,166,182.45454545454547,4.131182795698924,921.7028381243969,0,300
44,152,142,162,171,182.65131578947367,4.131182795698924,913.3892501600211,0,300
45,147,157,191,161,189.6530612244898,4.131182795698924,913.5183862709627,0,300
46,139,163,190,163,189.98561151079136,4.131182795698924,933.4728646047538,0,300
47,149,148,181,168,181.89261744966444,4.131182795698924,917.9671382196371,0,300
48,141,148,167,176,194.70921985815602,4.131182795698924,914.9344586173321,0,300
49,140,154,178,171,196.36428571428573,4.131182795698924,901.6938468161846,0,300
50,149,153,180,163,180.54362416107384,4.131182795698924,895.249224801821,0,300
