metric,original_mean,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper
total_evacuated,188.0,187.98102,0.7489476347515894,186.5395,189.44
total_dead,99.62,99.6301,0.6019342073682139,98.45899999999999,100.8405
total_trapped,177.38,177.36356,0.8257966616546709,175.83950000000002,179.0
