simulation_id,total_evacuated,total_dead,total_injured,total_trapped,average_escape_time,max_density,average_smoke,window_escape_count,total_simulation_time
1,183,259,367,258,162.1584699453552,5.945714285714286,923.5134863964344,0,300
2,199,247,339,254,160.8894472361809,5.985714285714286,906.5986011210705,0,300
3,191,250,339,259,158.59685863874344,5.845714285714286,923.844232675992,0,300
4,197,256,331,247,166.28426395939087,5.908571428571428,922.3517466059948,0,300
5,188,252,350,260,164.90425531914894,6.06,900.4384070324526,0,300
6,186,233,354,281,158.27956989247312,5.882857142857143,879.9083249020204,0,300
7,184,258,347,258,165.3641304347826,5.86,923.8330702836936,0,300
8,193,232,343,275,166.58031088082902,5.734285714285714,882.8779061754173,0,300
9,188,259,365,253,158.02659574468086,5.917142857142857,931.0775534939394,0,300
10,196,235,324,269,158.9030612244898,5.702857142857143,904.7798522940899,0,300
11,190,260,337,250,162.03684210526316,5.6257142857142854,916.91259706414,0,300
12,198,243,347,259,157.57575757575756,5.962857142857143,899.7437407628323,0,300
13,174,265,371,261,157.30459770114942,6.037142857142857,913.7383616820599,0,300
14,182,255,357,263,159.21428571428572,5.894285714285714,901.1152874111757,0,300
15,189,247,346,264,160.2910052910053,5.889842632331903,920.0553523691123,0,300
16,216,233,323,251,159.71296296296296,5.811428571428571,923.090628467761,0,300
17,190,242,345,268,160.56842105263158,6.04,899.8806875538453,0,300
18,188,260,362,252,155.07978723404256,5.808571428571429,925.8528455884879,0,300
19,182,253,365,265,167.74725274725276,6.0,914.17440655943,0,300
20,187,243,337,270,161.92513368983958,5.76,901.7012399601564,0,300
21,173,271,393,256,169.4508670520231,6.072961373390558,914.6803556622689,0,300
22,203,242,337,255,151.10837438423644,5.848571428571429,942.47173423366,0,300
23,176,260,368,264,165.51704545454547,5.98,912.400346068504,0,300
24,169,257,377,274,156.63905325443787,6.1085714285714285,894.8260790025815,0,300
25,204,239,328,257,157.85294117647058,5.731428571428571,906.7601181093479,0,300
26,181,262,351,257,161.37016574585635,5.698140200286123,906.5849025908733,0,300
27,203,245,324,252,158.0886699507389,5.917142857142857,910.0442706290509,0,300
28,188,269,348,243,161.68085106382978,5.677142857142857,904.1762634618705,0,300
29,187,255,362,258,161.06417112299465,6.045714285714285,895.6839457757895,0,300
30,183,256,375,261,161.6830601092896,6.228571428571429,927.2241256998603,0,300
31,191,248,334,261,158.2670157068063,5.922857142857143,920.2008715462312,0,300
32,200,244,341,256,162.14,6.131428571428572,920.0351953474308,0,300
33,192,265,361,243,156.65625,6.22,907.7522232730811,0,300
34,197,249,352,254,162.33502538071065,5.937142857142857,897.4230168429638,0,300
35,187,246,356,267,157.5668449197861,5.848571428571429,923.9171957397089,0,300
36,181,252,348,267,155.59116022099448,5.865714285714286,908.921771401527,0,300
37,197,240,331,263,164.33502538071065,5.8428571428571425,904.0298460785175,0,300
38,194,249,346,257,158.62886597938143,5.76,937.5402935146913,0,300
39,202,233,328,265,156.02970297029702,5.994285714285715,904.868240368329,0,300
40,190,242,338,268,149.9842105263158,5.774285714285714,935.9275008225069,0,300
41,201,261,333,238,162.45771144278606,5.858369098712446,941.1223511743173,0,300
42,192,234,331,274,160.11979166666666,5.865714285714286,900.9900023992484,0,300
43,204,228,333,268,157.0,5.845714285714286,906.041442711316,0,300
44,185,253,347,262,158.2,5.822857142857143,917.8294136833772,0,300
45,180,252,359,268,163.69444444444446,5.9,922.8232688704754,0,300
46,177,246,380,277,159.45197740112994,5.991428571428571,917.2625261648124,0,300
47,192,242,345,266,155.38020833333334,5.888571428571429,904.7298889867092,0,300
48,183,251,342,266,159.20765027322403,5.974285714285714,915.9553441484396,0,300
49,210,241,317,249,162.67619047619047,5.717142857142857,929.6185992041851,0,300
50,195,237,343,268,160.7846153846154,5.7296137339055795,918.5425653115536,0,300
