metric,distribution,aic,bic,log_likelihood,best_fit
total_evacuated,normal,332.7892375795318,336.6132835903881,-164.3946187897659,True
total_evacuated,lognormal,335.201060523868,340.93712954015245,-164.600530261934,False
total_evacuated,weibull,337.5222935716143,343.2583625878987,-165.76114678580714,False
total_dead,normal,321.1392802141771,324.9633262250334,-158.56964010708856,True
total_dead,lognormal,323.32836490678807,329.0644339230725,-158.66418245339403,False
total_dead,weibull,327.6437496582464,333.37981867453084,-160.8218748291232,False
average_escape_time,normal,269.9732681306715,273.7973141415278,-132.98663406533575,True
average_escape_time,lognormal,272.0659557489682,277.8020247652526,-133.0329778744841,False
average_escape_time,weibull,275.98117131527636,281.7172403315608,-134.99058565763818,False
