simulation_id,total_evacuated,total_dead,total_injured,total_trapped,average_escape_time,max_density,average_smoke,window_escape_count,total_simulation_time
34,189,102,127,174,169.88888888888889,4.131182795698924,940.6814462491835,0,300
35,198,96,123,171,166.2070707070707,4.131182795698924,917.9993518891573,0,300
36,186,105,126,174,168.3279569892473,4.131182795698924,923.5956144053404,0,300
37,192,100,122,173,166.140625,4.131182795698924,914.9841548910127,0,300
38,187,97,124,181,163.6042780748663,4.131182795698924,918.8869790021553,0,300
39,192,93,122,180,164.0625,4.131182795698924,939.4270411883789,0,300
40,186,98,119,181,166.80107526881721,4.131182795698924,916.9809322029922,0,300
41,179,95,127,191,167.49162011173183,4.131182795698924,931.3920825352826,0,300
42,184,99,122,182,165.04347826086956,4.131182795698924,923.2215945074154,0,300
43,191,96,116,178,165.91623036649216,4.131182795698924,926.036024031999,0,300
44,182,96,123,187,167.13736263736263,4.131182795698924,910.1764793775628,0,300
45,183,106,129,176,169.4153005464481,4.131182795698924,907.127678943668,0,300
46,183,96,131,186,170.12568306010928,4.131182795698924,915.9643290522959,0,300
47,174,98,122,193,168.78735632183907,4.131182795698924,909.3377635689468,0,300
48,169,103,132,193,170.3905325443787,4.131182795698924,915.4218344327644,0,300
49,177,93,127,195,167.1129943502825,4.131182795698924,930.1054109884195,0,300
50,197,101,122,167,163.19289340101523,4.131182795698924,895.0626178323598,0,300
51,181,104,130,180,168.30939226519337,4.131182795698924,912.6769079957004,0,300
52,192,91,109,182,167.01041666666666,4.131182795698924,878.2987235820806,0,300
53,195,91,118,179,160.86153846153846,4.131182795698924,900.2927577459072,0,300
54,185,101,124,179,167.0810810810811,4.131182795698924,923.0659427620102,0,300
55,184,98,126,183,163.0,4.131182795698924,915.755035035467,0,300
56,185,100,120,180,168.14054054054054,4.131182795698924,934.1807192474072,0,300
57,198,96,110,171,163.91919191919192,4.131182795698924,906.6638317831043,0,300
58,182,93,116,190,166.73626373626374,4.131182795698924,897.4080596295397,0,300
59,184,97,118,184,172.21195652173913,4.131182795698924,909.3449003623119,0,300
60,175,106,141,184,174.01142857142858,4.131182795698924,942.70439362848,0,300
61,202,93,115,170,162.36138613861385,4.131182795698924,927.4772140987976,0,300
62,183,102,128,180,166.59016393442624,4.131182795698924,923.2203447468197,0,300
63,177,90,118,198,165.7683615819209,4.131182795698924,902.2613259746602,0,300
64,192,90,114,183,165.703125,4.131182795698924,901.2556872437287,0,300
65,172,98,129,195,174.34883720930233,4.131182795698924,920.3147860128292,0,300
66,184,97,116,184,170.5054347826087,4.131182795698924,900.0335797041016,0,300
67,187,100,131,178,166.64171122994654,4.131182795698924,939.5955370344655,0,300
68,189,110,124,166,170.91534391534393,4.131182795698924,903.5881122439781,0,300
69,185,102,125,178,168.17837837837837,4.131182795698924,931.6061336931702,0,300
70,195,95,116,175,163.3948717948718,4.131182795698924,922.9783208426348,0,300
71,180,98,119,187,167.7111111111111,4.131182795698924,911.5160203731514,0,300
72,186,103,131,176,168.53763440860214,4.131182795698924,908.8105727018705,0,300
73,185,103,120,177,166.95675675675676,4.131182795698924,918.75975525602,0,300
74,184,101,131,180,173.29891304347825,4.131182795698924,933.7707015106573,0,300
75,184,98,124,183,164.66847826086956,4.131182795698924,913.3126211648481,0,300
76,180,99,126,186,168.81666666666666,4.131182795698924,916.0937691651848,0,300
77,180,100,125,185,167.60555555555555,4.131182795698924,903.4212845311182,0,300
78,186,106,122,173,169.59139784946237,4.131182795698924,943.166486981567,0,300
79,176,101,125,188,170.39204545454547,4.131182795698924,912.3880592404502,0,300
80,175,107,138,183,169.10285714285715,4.131182795698924,910.7716192447522,0,300
81,187,98,129,180,167.75401069518716,4.131182795698924,912.3169342362687,0,300
82,178,105,141,182,174.7865168539326,4.131182795698924,940.2550872034769,0,300
83,182,96,125,187,164.3901098901099,4.131182795698924,898.3424712852119,0,300
84,178,103,130,184,171.53370786516854,4.131182795698924,937.5794871294355,0,300
85,184,104,117,177,172.52173913043478,4.131182795698924,913.529227959899,0,300
86,179,104,131,182,167.34078212290504,4.131182795698924,921.4435238364729,0,300
87,184,105,134,176,163.9891304347826,4.131182795698924,913.6565290583408,0,300
88,182,105,125,178,170.06043956043956,4.131182795698924,920.5213906255966,0,300
89,186,99,131,180,167.44623655913978,4.131182795698924,907.9642079346056,0,300
90,174,103,126,188,173.08045977011494,4.131182795698924,925.6025990575317,0,300
91,182,106,130,177,170.54395604395606,4.131182795698924,893.233364462168,0,300
92,188,98,128,179,165.00531914893617,4.131182795698924,922.0551825347725,0,300
93,175,107,123,183,168.48,4.131182795698924,912.3168083999017,0,300
94,180,103,126,182,169.66666666666666,4.131182795698924,922.793287659269,0,300
95,180,106,122,179,166.61666666666667,4.131182795698924,898.291823329644,0,300
96,178,96,132,191,164.63483146067415,4.131182795698924,903.9576830778675,0,300
97,174,100,117,191,170.54597701149424,4.131182795698924,909.5555460287576,0,300
98,195,91,116,179,166.23589743589744,4.131182795698924,915.8906100357054,0,300
99,196,88,116,181,159.21938775510205,4.131182795698924,913.8898073809838,0,300
100,188,101,135,176,165.0531914893617,4.131182795698924,929.5329940015446,0,300
