simulation,mean_evacuated,mean_deaths,mean_trapped,std_evacuated,std_deaths,std_trapped,rel_error_evacuated,rel_error_deaths,rel_error_trapped
1,183.0,259.0,258.0,0.0,0.0,0.0,1.0,1.0,1.0
2,191.0,253.0,256.0,11.313708498984761,8.48528137423857,2.8284271247461903,0.08209424083769633,0.04648221343873517,0.0153125
3,191.0,252.0,257.0,8.0,6.244997998398398,2.6457513110645907,0.04739713204656196,0.02804317658694214,0.011649608770575158
4,192.5,253.0,254.5,7.187952884282608,5.477225575051661,5.446711546122731,0.03659321468362055,0.021216130685970863,0.020973584735561004
5,191.6,252.8,255.6,6.54217089351845,4.764451699828638,5.319774431308154,0.029929361297622623,0.016519881517095936,0.01824330157793883
6,190.66666666666666,249.5,259.8333333333333,6.282250127674531,9.137833441248533,11.409060726749887,0.026364582350262823,0.0293057698061288,0.03513463717827448
7,189.71428571428572,250.71428571428572,259.57142857142856,6.26403186758299,8.938946353165003,10.43802572100591,0.02446025469229504,0.02641279139914974,0.029789864426584215
8,190.125,248.375,261.5,5.914570386523678,10.595652747370364,11.096975134821973,0.02155733423565397,0.029561802720032965,0.02940654470792083
9,189.88888888888889,249.55555555555554,260.55555555555554,5.57773351022717,10.525102269231295,10.760008261045982,0.019190797565907407,0.027554586528530732,0.02698031922172724
10,190.5,248.1,261.4,5.602578771323871,10.938718186129286,10.490207073477835,0.018228421516150405,0.027327238103874833,0.024873365362983388
11,190.45454545454547,249.1818181818182,260.3636363636364,5.317210478505367,10.980147374404241,10.528748522713677,0.016498795462317355,0.026040633640299717,0.02389770264986939
