,mean,std,margin_of_error,ci_lower,ci_upper,confidence_level
total_evacuated,188.0,5.283783431116266,1.4645631328438988,186.5354368671561,189.4645631328439,0.95
total_dead,99.62,4.41652740121855,1.2241764431387865,98.39582355686122,100.84417644313879,0.95
total_injured,123.78,6.30286620903376,1.7470332766928487,122.03296672330715,125.52703327669285,0.95
total_trapped,177.38,5.809527712723122,1.6102893349456822,175.7697106650543,178.9902893349457,0.95
average_escape_time,167.6586127394604,3.08056055335961,0.8538721304083686,166.80474060905203,168.51248486986879,0.95
