metric,distribution,aic,bic,log_likelihood,best_fit
total_evacuated,normal,371.60708788545975,375.43113389631606,-183.80354394272987,True
total_evacuated,lognormal,373.2678823183439,379.0039513346283,-183.63394115917194,False
total_evacuated,weibull,381.96743383930266,387.7035028555871,-187.98371691965133,False
total_dead,normal,379.018427093066,382.8424731039223,-187.509213546533,True
total_dead,lognormal,381.0741466093461,386.8102156256305,-187.53707330467304,False
total_dead,weibull,385.11730073251624,390.8533697488007,-189.55865036625812,False
average_escape_time,normal,280.07961044007766,283.90365645093397,-138.03980522003883,True
average_escape_time,lognormal,282.1523205729388,287.8883895892232,-138.0761602864694,False
average_escape_time,weibull,289.39101040363425,295.1270794199187,-141.69550520181713,False
