,mean,std,margin_of_error,ci_lower,ci_upper,confidence_level
total_evacuated,190.36,9.652661682200428,2.6755321481030334,187.68446785189698,193.03553214810304,0.95
total_dead,249.02,10.395230460481894,2.8813579300356236,246.1386420699644,251.90135793003563,0.95
total_injured,347.54,16.418270062242694,4.5508286536935945,342.9891713463064,352.0908286536936,0.95
total_trapped,260.62,9.019004877456927,2.49989467029919,258.12010532970083,263.1198946702992,0.95
average_escape_time,160.12809798344162,3.864989343496515,1.071300702444514,159.0567972809971,161.19939868588614,0.95
