,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,190.36,93.1738775510204,9.652661682200428,169.0,216.0,190.0,183.25,197.0
total_dead,249.02,108.06081632653063,10.395230460481894,228.0,271.0,249.0,242.0,256.75
total_injured,347.54,269.55959183673474,16.418270062242694,317.0,393.0,346.0,337.0,358.5
total_trapped,260.62,81.34244897959184,9.019004877456927,238.0,281.0,261.0,255.25,267.0
average_escape_time,160.12809798344162,14.938142625341621,3.864989343496515,149.9842105263158,169.4508670520231,159.9163773148148,157.89635481852315,162.15385245901638
max_density,5.897435683629675,0.018328071073972076,0.13538120650212893,5.6257142857142854,6.228571428571429,5.889207030451666,5.814285714285714,5.984285714285715
average_smoke,913.3174405444666,186.3777770143569,13.652024648906728,879.9083249020204,942.47173423366,913.956384120745,904.3146698430801,923.0237885684396
