simulation,mean_evacuated,mean_deaths,mean_trapped,std_evacuated,std_deaths,std_trapped,rel_error_evacuated,rel_error_deaths,rel_error_trapped
1,146.0,154.0,165.0,0.0,0.0,0.0,1.0,1.0,1.0
2,148.5,170.5,146.0,3.5355339059327378,23.33452377915607,26.870057685088806,0.032996632996632996,0.1896774193548387,0.25506849315068497
3,148.33333333333334,165.0,151.66666666666666,2.5166114784235836,19.05255888325765,21.385353243127255,0.019198745908628585,0.13066666666666665,0.1595591559903569
4,145.5,164.75,154.75,6.027713773341708,15.56438241627338,18.518009252256753,0.04059903434965549,0.09258327628496457,0.11727075326146441
5,145.4,163.4,156.2,5.224940191045253,13.813037319865606,16.361540269791227,0.03149836318194488,0.07409829281395784,0.09181512403241067
6,146.16666666666666,161.16666666666666,157.66666666666666,5.036533199202271,13.51172330484408,15.068731421943477,0.02757171649354675,0.06708353896523103,0.07647460675202754
7,145.42857142857142,158.71428571428572,160.85714285714286,4.99523582550223,13.93693277726829,16.139274781606222,0.025445635952281633,0.06505163817159874,0.07432770384512435
8,145.0,159.75,160.25,4.780914437337574,13.231456026130632,15.04042172661012,0.022848308127832995,0.05739550069125263,0.06503887994318669
9,144.88888888888889,158.88888888888889,161.22222222222223,4.48454134902457,12.643619383353451,14.368174708168205,0.020221704856031038,0.051989148233649154,0.058225270354258465
10,144.6,158.2,162.2,4.3256341860022225,12.11793895200188,13.894843168120564,0.01854118841688292,0.047476462556884674,0.05309564130610243
11,144.8181818181818,157.54545454545453,162.63636363636363,4.166969685951215,11.699261825975485,13.261016003856774,0.017004230335045258,0.04388461692425978,0.04818577768051119
