,mean,std,margin_of_error,ci_lower,ci_upper,confidence_level
total_evacuated,187.92,5.110373603499742,1.4164972641891873,186.5035027358108,189.33649726418918,0.95
total_dead,99.58,4.398933080293216,1.2192996358073351,98.36070036419267,100.79929963580733,0.95
total_injured,123.64,6.359181053678955,1.7626426684051353,121.87735733159487,125.40264266840514,0.95
total_trapped,177.5,5.67576300723398,1.5732123315656001,175.9267876684344,179.0732123315656,0.95
average_escape_time,167.6532636085667,3.051407340290664,0.8457914205115019,166.80747218805521,168.4990550290782,0.95
