simulation,mean_evacuated,mean_deaths,mean_trapped,std_evacuated,std_deaths,std_trapped,rel_error_evacuated,rel_error_deaths,rel_error_trapped
1,186.0,104.0,175.0,0.0,0.0,0.0,1.0,1.0,1.0
2,186.5,101.5,177.0,0.7071067811865476,3.5355339059327378,2.8284271247461903,0.005254691689008043,0.048275862068965524,0.02214689265536723
3,186.0,100.0,179.0,1.0,3.605551275463989,4.0,0.006083906062428315,0.0408006535895362,0.02528729670640596
4,187.0,100.25,177.75,2.160246899469287,2.9860788111948193,4.112987559751022,0.01132108000791391,0.029190595860059083,0.02267638710861323
5,186.4,101.4,177.2,2.3021728866442674,3.6469165057620936,3.7682887362833544,0.010825877186874742,0.03152527870156624,0.01864024103321181
6,187.0,101.83333333333333,176.16666666666666,2.5298221281347035,3.4302575219167823,4.215052391924289,0.01082502297121788,0.026953626850210154,0.019145190250380327
7,186.71428571428572,101.28571428571429,177.0,2.4299715851758235,3.450327796711771,4.43471156521669,0.009641191273423203,0.025235924135169847,0.01856090566441978
8,186.625,101.25,177.125,2.2638462845343543,3.1959796173138706,4.120939559996343,0.00840597689575913,0.021873588965312517,0.016122317129590148
9,186.33333333333334,101.0,177.66666666666666,2.29128784747792,3.082207001484488,4.183300132670378,0.008033853633375174,0.019937708656467313,0.015383242514134973
10,186.5,101.3,177.2,2.223610677354389,3.0568684048294337,4.211096452627668,0.007389856174275034,0.018703520895031262,0.0147294843253043
