metric,distribution,aic,bic,log_likelihood,best_fit
total_evacuated,normal,674.2680573526385,679.4783977246146,-335.13402867631925,True
total_evacuated,lognormal,675.2706088232582,683.0861193812225,-334.6353044116291,False
total_evacuated,weibull,694.9001167652889,702.7156273232532,-344.45005838264444,False
total_dead,normal,601.2083496977015,606.4186900696776,-298.60417484885073,True
total_dead,lognormal,605.3182724433565,613.1337830013208,-299.65913622167824,False
total_dead,weibull,603.618705451988,611.4342160099524,-298.809352725994,False
average_escape_time,normal,534.5263979203313,539.7367382923075,-265.26319896016565,True
average_escape_time,lognormal,536.8439888854938,544.6594994434581,-265.4219944427469,False
average_escape_time,weibull,542.4874300769754,550.3029406349398,-268.2437150384877,False
