,mean,variance,std_dev,min,max,median,q25,q75
total_evacuated,187.92,26.11591836734694,5.110373603499742,178.0,199.0,188.0,184.25,191.0
total_dead,99.58,19.35061224489796,4.398933080293216,87.0,108.0,100.0,97.0,102.75
total_injured,123.64,40.43918367346939,6.359181053678955,110.0,139.0,123.0,119.0,128.0
total_trapped,177.5,32.214285714285715,5.67576300723398,167.0,189.0,177.5,174.0,181.0
average_escape_time,167.6532636085667,9.311086756379744,3.051407340290664,161.82065217391303,175.45,167.87140820355341,165.71751829954954,169.04428987575056
max_density,4.131182795698924,0.0,0.0,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924,4.131182795698924
average_smoke,915.6770447213556,107.12385622699071,10.350065518004739,893.8757366998618,939.8719614942496,915.984056742154,910.2044085121279,922.8031409159923
