tiempo,evacuados,muertos,heridos,vivos,humo_promedio,densidad_promedio
0,0,0,0,465,0.0,4.131182795698924
1,0,1,0,464,0.043517354875802994,4.120689655172414
2,0,1,0,464,0.09195837378501892,4.120689655172414
3,0,1,0,464,0.14335741102695465,4.120689655172414
4,0,1,0,464,0.19765082001686096,4.120689655172414
5,0,1,0,464,0.25450271368026733,4.120689655172414
6,0,1,0,464,0.3137081563472748,4.120689655172414
7,0,1,0,464,0.3750983774662018,4.120689655172414
8,0,1,0,464,0.4386064112186432,4.120689655172414
9,0,1,0,464,0.5041088461875916,4.120689655172414
10,0,1,0,464,0.5717540979385376,4.120689655172414
11,0,1,0,464,0.641516923904419,4.107758620689655
12,0,1,0,464,0.7133339047431946,4.094827586206897
13,0,1,0,464,0.7871609330177307,4.0905172413793105
14,0,1,0,464,0.862957239151001,4.056034482758621
15,0,1,2,464,0.9406600594520569,4.064655172413793
16,0,2,3,463,1.0434061288833618,4.045356371490281
17,0,2,3,463,1.1481199264526367,4.032397408207343
18,0,2,4,463,1.2693215608596802,4.032397408207343
19,0,2,6,463,1.4094165563583374,4.019438444924406
20,0,2,8,463,1.5229429006576538,3.980561555075594
21,0,2,9,463,1.638235092163086,3.941684665226782
22,0,4,10,461,1.7553833723068237,3.9197396963123645
23,0,4,13,461,1.8743643760681152,3.9023861171366594
24,0,5,13,460,1.9951717853546143,3.869565217391304
25,0,6,14,459,2.117774486541748,3.8627450980392157
26,0,8,14,457,2.2421460151672363,3.8446389496717726
27,0,8,15,457,2.3963963985443115,3.849015317286652
28,1,8,17,456,2.524209499359131,3.8464912280701755
29,1,10,18,454,2.681838035583496,3.7753303964757707
30,3,11,20,451,2.8129656314849854,3.789356984478936
31,3,12,20,450,2.946021318435669,3.7644444444444445
32,4,14,20,447,3.080972671508789,3.7651006711409396
33,5,15,20,445,3.36354923248291,3.741573033707865
34,5,15,21,445,3.5438342094421387,3.7056179775280897
35,5,15,22,445,3.7206013202667236,3.6696629213483147
36,5,17,22,443,3.8951330184936523,3.613995485327314
37,5,17,24,443,4.13803243637085,3.564334085778781
38,5,18,27,442,4.3225908279418945,3.484162895927602
39,5,20,28,440,4.505327224731445,3.4863636363636363
40,5,20,30,440,4.828685283660889,3.422727272727273
41,5,20,32,440,5.088510513305664,3.4045454545454548
42,6,22,32,437,5.320206165313721,3.3524027459954233
43,6,23,32,436,5.545854091644287,3.3440366972477062
44,6,23,32,436,5.819699287414551,3.293577981651376
45,8,23,32,434,6.197741985321045,3.23963133640553
46,8,23,32,434,6.509627819061279,3.2442396313364057
47,9,24,34,432,6.758467674255371,3.134259259259259
48,10,24,35,431,7.002650260925293,3.120649651972158
49,12,25,37,428,7.29900598526001,3.0373831775700935
50,12,27,37,426,7.749509811401367,2.976525821596244
51,15,28,37,422,8.059985160827637,2.8720379146919433
52,15,31,38,419,8.359428405761719,2.8615751789976134
53,17,33,38,415,8.69269847869873,2.860240963855422
54,18,33,39,414,8.990771293640137,2.8550724637681157
55,19,33,41,413,9.514436721801758,2.8595641646489103
56,21,33,41,411,9.872751235961914,2.7907542579075426
57,21,33,42,411,10.24250316619873,2.6982968369829683
58,21,33,42,411,10.583457946777344,2.6447688564476888
59,22,33,42,410,10.901458740234375,2.55609756097561
60,22,34,44,409,11.44540023803711,2.5794621026894866
61,23,37,44,405,11.943635940551758,2.511111111111111
62,24,38,45,403,12.465782165527344,2.478908188585608
63,25,38,46,402,12.998733520507812,2.5323383084577116
64,26,38,46,401,13.449478149414062,2.456359102244389
65,26,38,47,401,14.04678726196289,2.4713216957605986
66,27,39,49,399,14.551644325256348,2.4285714285714284
67,28,39,49,398,15.0344820022583,2.4522613065326633
68,29,40,49,396,15.487409591674805,2.404040404040404
69,30,41,49,394,15.930426597595215,2.446700507614213
70,32,45,53,388,16.816930770874023,2.381443298969072
71,33,45,55,387,17.492216110229492,2.400516795865633
72,33,45,55,387,18.135244369506836,2.3126614987080103
73,35,46,56,384,18.749814987182617,2.3645833333333335
74,36,46,57,383,19.38321304321289,2.2950391644908614
75,36,46,57,383,20.07029151916504,2.362924281984334
76,36,46,62,383,20.668357849121094,2.3263707571801566
77,36,46,64,383,21.392202377319336,2.3368146214099217
78,36,47,69,382,22.030391693115234,2.298429319371728
79,37,48,71,380,22.777124404907227,2.278947368421053
80,38,50,74,377,23.40560531616211,2.336870026525199
81,39,50,77,376,24.054718017578125,2.2819148936170213
82,40,50,83,375,24.94936752319336,2.3173333333333335
83,41,51,86,373,26.19606590270996,2.28686327077748
84,41,54,88,370,28.098663330078125,2.3189189189189188
85,43,56,88,366,31.20387840270996,2.3169398907103824
86,43,58,88,364,35.127872467041016,2.32967032967033
87,44,62,88,359,39.062400817871094,2.3147632311977717
88,44,65,88,356,43.02789306640625,2.353932584269663
89,45,73,88,347,47.295528411865234,2.3371757925072045
90,45,79,88,341,52.30176544189453,2.3548387096774195
91,46,81,88,338,58.23164367675781,2.272189349112426
92,46,81,88,338,64.61939239501953,2.3431952662721893
93,46,81,88,338,71.3794937133789,2.2544378698224854
94,47,81,88,337,78.33087158203125,2.4124629080118694
95,47,82,88,336,86.13111877441406,2.494047619047619
96,48,82,88,335,93.57079315185547,2.4208955223880597
97,49,82,88,334,100.96580505371094,2.395209580838323
98,50,82,88,333,108.36067199707031,2.4234234234234235
99,50,82,88,333,115.91476440429688,2.4234234234234235
100,51,82,88,332,123.73700714111328,2.4216867469879517
101,52,83,88,330,131.3793487548828,2.4424242424242424
102,53,83,88,329,139.0403289794922,2.4285714285714284
103,53,83,88,329,147.01258850097656,2.4893617021276597
104,53,83,88,329,155.55003356933594,2.501519756838906
105,54,83,88,328,164.0373992919922,2.4695121951219514
106,55,83,88,327,172.53607177734375,2.529051987767584
107,55,83,88,327,181.04249572753906,2.5168195718654434
108,56,83,88,326,189.58937072753906,2.521472392638037
109,57,83,88,325,198.15464782714844,2.4892307692307694
110,58,83,88,324,207.00119018554688,2.549382716049383
111,59,83,89,323,215.8192138671875,2.541795665634675
112,60,83,89,322,224.67636108398438,2.540372670807453
113,60,83,89,322,233.55747985839844,2.608695652173913
114,61,83,89,321,242.46719360351562,2.5514018691588785
115,62,83,89,320,251.43409729003906,2.56875
116,62,83,89,320,260.45306396484375,2.525
117,63,83,89,319,269.52276611328125,2.529780564263323
118,63,83,89,319,278.64434814453125,2.579937304075235
119,64,83,89,318,287.8192443847656,2.5786163522012577
120,65,83,89,317,297.0735168457031,2.6214511041009465
121,65,83,89,317,306.4023132324219,2.6025236593059935
122,66,83,89,316,315.7548522949219,2.588607594936709
123,67,83,89,315,325.2350769042969,2.676190476190476
124,67,83,89,315,334.7877197265625,2.638095238095238
125,67,83,89,315,344.4403076171875,2.7142857142857144
126,68,83,89,314,354.1925048828125,2.713375796178344
127,69,83,89,313,364.04046630859375,2.6996805111821085
128,69,83,89,313,373.9070129394531,2.6549520766773163
129,70,83,89,312,383.9206237792969,2.6538461538461537
130,71,83,89,311,393.9775695800781,2.652733118971061
131,72,83,89,310,404.074951171875,2.670967741935484
132,72,83,89,310,414.24005126953125,2.670967741935484
133,73,83,89,309,424.5188903808594,2.7411003236245954
134,74,83,89,308,434.90521240234375,2.6493506493506493
135,75,83,89,307,445.3311767578125,2.6872964169381106
136,76,83,89,306,455.8828430175781,2.738562091503268
137,76,83,89,306,466.9747314453125,2.7973856209150325
138,77,83,89,305,477.8717956542969,2.7901639344262295
139,78,83,89,304,488.7540283203125,2.723684210526316
140,79,83,89,303,499.6143493652344,2.782178217821782
141,79,83,89,303,510.51922607421875,2.7755775577557755
142,80,84,89,301,521.5029907226562,2.787375415282392
143,81,84,90,300,532.5162353515625,2.76
144,81,84,90,300,543.604248046875,2.7666666666666666
145,82,84,90,299,554.7727661132812,2.8461538461538463
146,82,84,90,299,565.9738159179688,2.7324414715719065
147,83,84,90,298,577.2077026367188,2.7986577181208054
148,83,84,90,298,588.4475708007812,2.7651006711409396
149,84,84,90,297,599.7390747070312,2.7643097643097643
150,85,84,90,296,611.1107177734375,2.7905405405405403
151,85,84,90,296,622.5421752929688,2.77027027027027
152,85,84,91,296,634.0267333984375,2.7905405405405403
153,86,84,91,295,645.58984375,2.769491525423729
154,87,84,92,294,657.2659912109375,2.7687074829931975
155,88,84,92,293,668.946533203125,2.863481228668942
156,89,85,92,291,680.7343139648438,2.8006872852233675
157,90,86,92,289,692.528564453125,2.847750865051903
158,90,86,92,289,704.3572387695312,2.9238754325259517
159,91,86,92,288,716.2450561523438,2.8402777777777777
160,91,86,92,288,728.2368774414062,2.8541666666666665
161,91,86,92,288,740.2894287109375,2.9097222222222223
162,92,86,92,287,752.3771362304688,2.832752613240418
163,93,86,92,286,764.5692138671875,2.8531468531468533
164,93,86,92,286,776.8197021484375,2.965034965034965
165,93,86,92,286,789.1063842773438,2.9160839160839163
166,94,86,92,285,801.4020385742188,2.887719298245614
167,95,86,93,284,813.7355346679688,2.9788732394366195
168,95,86,93,284,826.1044311523438,2.943661971830986
169,96,86,93,283,838.5110473632812,2.978798586572438
170,96,86,93,283,851.0037231445312,2.943462897526502
171,97,86,93,282,863.555419921875,3.00709219858156
172,97,86,93,282,876.1992797851562,2.99290780141844
173,98,86,95,281,888.95458984375,3.0355871886120998
174,99,86,96,280,901.7716064453125,2.9857142857142858
175,99,86,96,280,914.6240234375,2.992857142857143
176,100,87,96,278,927.59228515625,2.949640287769784
177,101,87,97,277,940.593994140625,2.92057761732852
178,101,87,97,277,953.680419921875,3.036101083032491
179,102,87,97,276,966.8037719726562,2.9565217391304346
180,103,87,98,275,979.96484375,3.109090909090909
181,104,87,98,274,993.1635131835938,3.0583941605839415
182,105,87,98,273,1006.39990234375,3.0805860805860807
183,106,87,98,272,1019.7257690429688,2.985294117647059
184,106,87,98,272,1033.0816650390625,3.036764705882353
185,107,87,98,271,1046.502685546875,2.96309963099631
186,107,88,98,270,1060.017578125,3.051851851851852
187,108,88,98,269,1073.611572265625,3.0223048327137545
188,108,88,98,269,1087.26318359375,2.992565055762082
189,109,89,98,267,1101.0013427734375,2.9625468164794007
190,110,89,98,266,1114.798095703125,2.924812030075188
191,111,89,98,265,1128.6571044921875,3.060377358490566
192,112,90,98,263,1142.6590576171875,3.076045627376426
193,112,90,98,263,1156.6683349609375,3.0152091254752853
194,113,90,98,262,1170.713623046875,3.015267175572519
195,114,92,98,259,1184.824462890625,3.0463320463320462
196,115,93,98,257,1198.9989013671875,3.062256809338521
197,116,93,98,256,1213.209716796875,2.9765625
198,117,93,98,255,1227.4775390625,2.992156862745098
199,117,94,98,254,1241.7764892578125,2.9606299212598426
200,118,94,98,253,1256.1673583984375,2.992094861660079
201,119,94,98,252,1270.6212158203125,3.0
202,120,94,98,251,1285.111572265625,2.9362549800796813
203,121,94,98,250,1299.7166748046875,3.032
204,121,94,98,250,1314.3814697265625,2.936
205,122,94,98,249,1329.109375,2.9839357429718874
206,122,94,98,249,1343.9256591796875,3.040160642570281
207,123,94,98,248,1358.8187255859375,3.024193548387097
208,124,94,98,247,1373.802978515625,3.0566801619433197
209,125,94,98,246,1388.821533203125,3.073170731707317
210,126,94,98,245,1403.9808349609375,3.089795918367347
211,126,94,98,245,1419.1759033203125,3.122448979591837
212,127,94,98,244,1434.380615234375,3.0491803278688523
213,128,94,98,243,1449.7060546875,3.0
214,128,94,98,243,1465.1187744140625,3.0082304526748973
215,129,94,98,242,1480.595703125,3.0330578512396693
216,130,94,98,241,1496.1099853515625,3.033195020746888
217,131,94,98,240,1511.71142578125,2.966666666666667
218,132,94,98,239,1527.4482421875,2.933054393305439
219,133,94,98,238,1543.275146484375,2.9411764705882355
220,134,94,98,237,1559.216796875,3.0
221,134,94,98,237,1575.215576171875,3.0
222,135,94,98,236,1591.25146484375,3.0
223,136,94,98,235,1607.3958740234375,3.008510638297872
224,136,94,98,235,1623.5491943359375,2.9148936170212765
225,137,94,99,234,1639.78857421875,3.0085470085470085
226,138,94,99,233,1656.1295166015625,3.0085836909871246
227,138,94,99,233,1672.578857421875,3.0343347639484977
228,139,94,99,232,1689.1617431640625,3.1293103448275863
229,140,94,99,231,1705.8514404296875,2.948051948051948
230,140,94,99,231,1722.5450439453125,2.948051948051948
231,141,94,99,230,1739.386474609375,3.0956521739130434
232,142,94,99,229,1756.2874755859375,3.183406113537118
233,142,94,99,229,1773.2939453125,3.1397379912663754
234,143,94,99,228,1790.3270263671875,3.1140350877192984
235,143,94,99,228,1807.4420166015625,3.236842105263158
236,144,94,99,227,1824.7052001953125,3.13215859030837
237,145,94,99,226,1842.0313720703125,3.0530973451327434
238,146,94,99,225,1859.4996337890625,3.16
239,147,94,99,224,1877.0985107421875,3.125
240,147,94,99,224,1894.827392578125,3.0357142857142856
241,148,94,99,223,1912.6739501953125,3.1434977578475336
