tiempo,evacuados,muertos,heridos,vivos,humo_promedio,densidad_promedio
0,0,0,0,465,0.0,4.131182795698924
1,0,1,0,464,0.04351735695213954,4.129310344827586
2,0,1,0,464,0.09195836978525941,4.120689655172414
3,0,1,0,464,0.14335739965532207,4.120689655172414
4,0,1,0,464,0.19765082549348645,4.120689655172414
5,0,1,0,464,0.2545026954991802,4.120689655172414
6,0,1,0,464,0.3137081704623616,4.120689655172414
7,0,1,0,464,0.37509836748036796,4.120689655172414
8,0,1,0,464,0.4386064589112439,4.120689655172414
9,0,1,0,464,0.5041088498115169,4.120689655172414
10,0,1,0,464,0.5717541252564703,4.120689655172414
11,0,1,0,464,0.6415169699592277,4.120689655172414
12,0,1,0,464,0.7133339347127663,4.120689655172414
13,0,1,0,464,0.7871611007466851,4.107758620689655
14,0,1,0,464,0.8629573778534336,4.107758620689655
15,0,1,2,464,0.940660174537045,4.099137931034483
16,0,1,3,464,1.0202126465150279,4.086206896551724
17,0,1,3,464,1.1015616706407778,4.077586206896552
18,0,1,3,464,1.2064480441873686,4.068965517241379
19,0,1,5,464,1.3249628933852398,4.051724137931035
20,0,1,5,464,1.4159785393177975,4.051724137931035
21,0,1,6,464,1.507753129936352,4.030172413793103
22,0,3,7,462,1.600616421852896,4.010822510822511
23,0,4,7,461,1.6945774339530015,3.995661605206074
24,0,4,10,461,1.789707369182232,3.9674620390455533
25,0,4,10,461,1.8860081280889598,3.941431670281996
26,0,4,11,461,1.9834789903162588,3.932754880694143
27,0,6,11,459,2.1102473790589644,3.9041394335511983
28,0,6,13,459,2.2100140216753146,3.871459694989107
29,0,6,17,459,2.3390462243823507,3.810457516339869
30,0,7,18,458,2.4410411199082005,3.7751091703056767
31,0,8,19,457,2.5441227511190374,3.7789934354485775
32,0,8,21,457,2.6482727899442065,3.7396061269146608
33,0,8,21,457,2.9071281473726134,3.6827133479212253
34,0,13,22,452,3.0872212863458603,3.6792035398230087
35,0,13,23,452,3.2431376634223223,3.6283185840707963
36,0,14,24,451,3.3953330305988603,3.5920177383592016
37,1,14,26,450,3.614220363064651,3.5644444444444443
38,1,15,26,449,3.7732534409602554,3.494432071269488
39,1,16,26,448,3.929155667254344,3.4888392857142856
40,2,19,26,444,4.2042767274712665,3.421171171171171
41,2,20,27,443,4.414196060860216,3.383747178329571
42,2,21,28,442,4.612596209298489,3.3846153846153846
