tiempo,evacuados,muertos,heridos,vivos,humo_promedio,densidad_promedio
0,0,0,0,700,0.0,6.085714285714285
1,0,1,0,699,0.043517354875802994,6.081545064377682
2,0,1,0,699,0.09195837378501892,6.081545064377682
3,0,1,0,699,0.14335741102695465,6.081545064377682
4,0,1,0,699,0.19765082001686096,6.081545064377682
5,0,1,0,699,0.25450271368026733,6.081545064377682
6,0,1,0,699,0.3137081563472748,6.081545064377682
7,0,1,0,699,0.3750983774662018,6.081545064377682
8,0,1,0,699,0.4386064112186432,6.081545064377682
9,0,1,0,699,0.5041088461875916,6.081545064377682
10,0,1,0,699,0.5717540979385376,6.072961373390558
11,0,1,0,699,0.641516923904419,6.072961373390558
12,0,1,0,699,0.7133339047431946,6.064377682403434
13,0,1,0,699,0.7871609330177307,6.044349070100143
14,0,1,1,699,0.862957239151001,6.041487839771102
15,0,1,4,699,0.9406600594520569,6.032904148783977
16,1,1,5,698,1.0202125310897827,6.022922636103152
17,1,1,5,698,1.1015615463256836,6.0
18,2,1,5,697,1.206447958946228,5.995695839311335
19,2,1,8,697,1.3249627351760864,5.9842180774748925
20,2,1,8,697,1.4159784317016602,5.967001434720229
21,2,1,11,697,1.5077528953552246,5.958393113342898
22,2,3,13,695,1.600616216659546,5.923741007194245
23,2,4,14,694,1.6945772171020508,5.9193083573487035
24,2,4,17,694,1.7897073030471802,5.893371757925072
25,2,4,18,694,1.8860076665878296,5.904899135446686
26,2,4,23,694,1.9834786653518677,5.870317002881844
27,2,7,24,691,2.1102471351623535,5.842257597684515
28,3,7,26,690,2.2100136280059814,5.814492753623188
29,3,7,31,690,2.339045524597168,5.802898550724637
30,3,9,33,688,2.465603828430176,5.784883720930233
31,3,10,35,687,2.593984603881836,5.745269286754003
32,3,10,39,687,2.724306344985962,5.701601164483261
33,3,12,43,685,3.0102360248565674,5.703649635036497
34,3,15,45,682,3.2129125595092773,5.627565982404692
35,3,15,53,682,3.3956799507141113,5.621700879765396
36,3,19,59,678,3.5754218101501465,5.563421828908554
37,3,19,63,678,3.8227310180664062,5.539823008849558
38,4,21,67,675,4.010953426361084,5.497777777777777
39,4,23,71,673,4.196835994720459,5.460624071322437
40,4,26,78,670,4.502693176269531,5.432835820895522
41,5,26,84,669,4.7440972328186035,5.3796711509716
42,5,27,87,668,4.972377300262451,5.31437125748503
43,6,28,88,666,5.180891036987305,5.222222222222222
44,7,31,93,662,5.435751438140869,5.166163141993958
45,7,32,98,661,5.793299674987793,5.1089258698941
46,7,32,101,661,6.083556652069092,5.018154311649017
47,8,36,106,656,6.309830665588379,5.036585365853658
48,9,37,109,654,6.530650615692139,4.938837920489297
49,10,38,116,652,6.802944183349609,4.96319018404908
50,11,41,118,648,7.228740692138672,4.888888888888889
51,12,42,122,646,7.513899803161621,4.835913312693498
52,12,45,123,643,7.787456035614014,4.766718506998445
53,15,47,125,638,8.09429931640625,4.721003134796239
54,16,49,127,635,8.365440368652344,4.6976377952755906
55,17,49,128,634,8.861690521240234,4.624605678233438
56,18,50,132,632,9.192132949829102,4.620253164556962
57,18,52,134,630,9.533705711364746,4.580952380952381
58,20,52,137,628,9.85293197631836,4.519108280254777
59,20,53,139,627,10.144510269165039,4.422647527910685
60,22,55,147,623,10.662464141845703,4.351524879614767
61,23,57,152,620,11.121962547302246,4.316129032258065
62,23,58,154,619,11.613083839416504,4.279483037156704
63,24,62,155,614,12.116423606872559,4.276872964169381
64,24,64,157,612,12.537967681884766,4.218954248366013
65,25,65,158,610,13.10696792602539,4.213114754098361
66,25,66,161,609,13.583797454833984,4.142857142857143
67,26,66,164,608,14.069389343261719,4.157894736842105
68,28,68,166,604,14.523432731628418,4.086092715231788
69,28,69,169,603,14.965734481811523,3.9817578772802653
70,30,74,171,596,15.861577987670898,3.9798657718120807
71,31,74,173,595,16.50656509399414,3.9781512605042018
72,32,77,178,591,17.09588623046875,3.9204737732656514
73,33,79,180,588,17.656387329101562,3.857142857142857
74,33,81,180,586,18.248016357421875,3.7713310580204777
75,34,83,182,583,18.8835506439209,3.7204116638078903
76,36,85,185,579,19.45621109008789,3.7322970639032813
77,36,87,191,577,20.159093856811523,3.651646447140381
78,37,91,195,572,20.772890090942383,3.660839160839161
79,38,92,201,570,21.49346923828125,3.5824561403508772
80,40,95,202,565,22.096572875976562,3.47787610619469
81,41,98,210,561,22.719758987426758,3.445632798573975
82,41,99,216,560,23.580419540405273,3.3785714285714286
83,43,102,218,555,24.78101348876953,3.3207207207207206
84,44,108,219,548,26.618818283081055,3.2883211678832116
85,45,111,223,544,29.585702896118164,3.238970588235294
86,45,115,223,540,33.402591705322266,3.2444444444444445
87,46,123,223,531,37.25874710083008,3.1619585687382297
88,46,128,223,526,41.163551330566406,3.0608365019011408
89,47,138,223,515,45.378814697265625,3.0699029126213593
90,47,152,223,501,50.308109283447266,2.996007984031936
91,48,155,223,497,56.14427185058594,3.0442655935613683
